feature,spearman_corr,p_value
track_genre_show-tunes,-0.011203373918494372,0.00015509169870794921
key_0,-0.012045151752735551,4.7619334373639257e-05
mode,-0.014501468548976607,9.757697801470698e-07
track_genre_malay,-0.015968095933425793,6.978088929139739e-08
time_signature_1,-0.017487221369447057,3.5317716992413263e-09
track_genre_guitar,-0.018263188432233513,6.968193330253304e-10
track_genre_new-age,-0.021189527628664856,8.359197447708926e-13
track_genre_goth,-0.021636048730626033,2.753230145006498e-13
energy,-0.023513149268771617,2.0224077925110772e-15
track_genre_salsa,-0.024904068872737457,4.107334337454645e-17
time_signature_5,-0.02673151790986902,1.7625997316571673e-19
track_genre_german,-0.027544406458849688,1.3818565806333172e-20
track_genre_study,-0.030063503111679716,3.2202223330380254e-24
track_genre_disney,-0.030252528579406343,1.6700367758547357e-24
track_genre_power-pop,-0.031239853064661267,5.066344135907307e-26
track_genre_hardstyle,-0.03182386987592355,6.083727539496964e-27
track_genre_latino,-0.03330776660377479,2.342485432210503e-29
track_genre_j-dance,-0.03352977254827593,9.9795625415312e-30
track_genre_drum-and-bass,-0.03405364983730908,1.3032806551609986e-30
track_genre_heavy-metal,-0.03571815121153092,1.6452937000650996e-33
track_genre_bluegrass,-0.03735962450926526,1.6733745863064292e-36
track_genre_alternative,-0.03774816461332247,3.1314301825915274e-37
track_genre_reggaeton,-0.03924348377095804,4.216359816863656e-40
track_genre_opera,-0.04084091200767817,2.7283840976989907e-43
valence,-0.04190168742667886,1.7718748016617965e-45
track_genre_comedy,-0.0427078680772252,3.537524515939954e-47
track_genre_j-idol,-0.043500153858221674,7.028880685715943e-49
track_genre_afrobeat,-0.044951320601179644,4.4577530490974745e-52
time_signature_3,-0.04827466344772622,8.555060567264567e-60
track_genre_dance,-0.048402939841179056,4.2011688628218204e-60
track_genre_reggae,-0.050071320261104585,3.40342578534101e-64
track_genre_party,-0.054019102368397284,1.9919850339201326e-74
track_genre_black-metal,-0.05510679394062552,2.206371159014311e-77
track_genre_soul,-0.05647256156005061,3.539757651427074e-81
track_genre_happy,-0.05653401938526612,2.3770081480688296e-81
track_genre_breakbeat,-0.05930131627646361,2.4753386432771754e-89
track_genre_rock,-0.062296872820900046,2.0988444294929973e-98
track_genre_tango,-0.06659127700515295,3.4234746169256877e-112
track_genre_country,-0.06680116773089537,6.869745214954992e-113
speechiness,-0.06787217704989643,1.7511226310189415e-116
track_genre_idm,-0.0756591174590399,2.4291904060028473e-144
track_genre_honky-tonk,-0.07584033759974723,5.022025638005321e-145
instrumentalness,-0.07845353937183722,4.420316953395367e-155
track_genre_kids,-0.07960525204544514,1.2722684713566035e-159
track_genre_jazz,-0.08153722292492123,2.173907391756512e-167
track_genre_classical,-0.08251195983529853,2.223006920225021e-171
track_genre_grindcore,-0.08519291002796099,1.331968221757741e-182
track_genre_chicago-house,-0.08559231145998855,2.6395133188216616e-184
track_genre_detroit-techno,-0.08809049991333742,3.861007535066578e-195
track_genre_latin,-0.10082579629453563,2.7095635033926173e-255
track_genre_romance,-0.1235223646694957,0.0
track_genre_iranian,-0.12712719762649818,0.0
